Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-10-16,615.6,630.0,563.4,592.0,595.65,24000049.0,144129.52
2017-10-17,596.2,599.95,582.8,587.15,587.8,2285512.0,13481.29
2017-10-18,584.5,605.8,580.0,599.0,600.15,2299835.0,13689.25
2017-10-19,600.0,601.7,588.1,588.1,592.6,321920.0,1921.46
2017-10-23,594.35,596.9,580.0,580.5,581.75,504465.0,2954.48
2017-10-24,581.2,587.0,575.0,577.0,577.6,443099.0,2572.63
2017-10-25,577.8,582.0,555.0,559.05,558.15,688096.0,3882.86
2017-10-26,562.95,562.95,542.9,543.0,545.25,466716.0,2565.54
2017-10-27,548.0,572.0,548.0,562.5,560.35,554111.0,3117.33
2017-10-30,566.8,575.0,561.25,574.0,571.3,407389.0,2323.32
2017-10-31,572.9,582.0,571.0,575.0,575.2,249070.0,1435.82
2017-11-01,576.05,582.8,571.05,571.8,572.95,306144.0,1763.81
2017-11-02,572.95,578.0,562.75,565.0,567.55,251514.0,1435.82
2017-11-03,570.0,575.8,565.4,568.5,569.45,235204.0,1341.37
2017-11-06,546.0,560.0,546.0,548.0,549.1,438116.0,2425.29
2017-11-07,551.0,555.0,541.0,545.1,545.1,280595.0,1531.46
2017-11-08,545.9,554.8,538.1,546.0,547.5,254410.0,1383.33
2017-11-09,550.0,554.0,542.4,546.85,545.95,128730.0,703.78
2017-11-10,543.0,552.0,542.0,550.45,548.75,179443.0,984.74
2017-11-13,549.95,550.0,535.0,536.4,538.45,409381.0,2205.68
2017-11-14,536.5,540.95,522.15,533.0,528.8,461424.0,2444.48
2017-11-15,530.8,535.0,527.15,530.0,529.65,192711.0,1022.71
2017-11-16,530.0,535.0,522.35,531.9,531.65,131780.0,695.92
2017-11-17,534.9,540.0,530.2,538.0,538.4,270076.0,1450.58
2017-11-20,542.0,550.6,538.1,550.5,546.0,374190.0,2039.36
2017-11-21,550.7,565.0,550.7,560.0,558.1,205973.0,1149.94
2017-11-22,562.25,565.0,554.45,555.6,556.7,136575.0,764.76
2017-11-23,563.6,563.6,547.6,548.0,548.9,73355.0,405.56
2017-11-24,549.0,553.4,545.05,550.0,549.7,70294.0,386.06
2017-11-27,551.0,551.5,542.0,543.1,544.05,124151.0,677.23
2017-11-28,546.0,546.0,540.0,543.95,542.55,151912.0,824.63
2017-11-29,544.0,544.85,537.5,538.2,538.4,68265.0,369.23
